ID,Chinese Name,English Name,Category,Symbolic Meaning (brief),Traditions,Offered To,Occasions,Origin Country
26,托钵化缘 (食物施舍),Alms Food for Monks (Pindabata / Pindapata),dana_and_alms,The foundational Buddhist practice of dana (generosity) expressed as nourishing the sangha. Laypeople gain merit (punya)...,Theravada,Buddhist monks (bhikkhus); Buddhist nuns (bhikkhunis),Daily morning alms round; Special occasions,"India (established by the Buddha), practiced throughout Theravada Southeast Asia (Thailand, Myanmar, Sri Lanka, Laos, Cambodia)"
27,五灯供 (七供碗),Seven Offering Bowls (Seven-Limb Offering),ritual_objects,Together the seven offerings represent the complete devotional practice of the Seven Limb Prayer. Each bowl corresponds ...,Vajrayana; Tibetan Buddhism,All Buddhas and Bodhisattvas; The Three Jewels,Daily Tibetan altar practice; Formal puja ceremonies,"India (the seven-limb offering tradition), developed extensively in Tibet"
28,铃与金刚杵,Bell and Vajra (Dorje),ritual_objects,The bell represents prajna (wisdom) — understanding the true nature of reality and emptiness. The vajra represents upaya...,Vajrayana; Tibetan Buddhism,Tantric deities; All Buddhas (as ritual tools held during offerings),All Tibetan Buddhist ritual ceremonies; Tantric practices,"India (the vajra originated in Vedic/Hindu and early Buddhist iconography), fully developed in Tibet"
29,法螺,Conch Shell,ritual_objects,The fame of the Buddha's teachings spreading in all directions (like the sound of the conch). Fearless proclamation of t...,Vajrayana; Tibetan Buddhism; Mahayana (Chinese Buddhism),All Buddhas; Used as instrument during offerings to deities,Opening of ceremonies; Major rituals,"India (ancient sacred instrument), used throughout Buddhist Asia"
30,木鱼,Wooden Fish Drum (Mokugyo),ritual_objects,"Wakefulness and perseverance — just as a fish always has its eyes open, Buddhists should be awake and alert at all times...",Mahayana; Chan/Zen; Japanese Buddhism; Korean Buddhism; Vietnamese Buddhism,All Buddhas (the sound is itself an offering),Daily chanting services; Sutra recitation,"China (origin of the mokugyo), spread to Japan and Korea"
31,灯笼,Lantern / Paper Lantern,candles_and_lamps,Guiding ancestral spirits back home (Obon); the light of Buddha's enlightenment illuminating the world; wisdom dispellin...,Mahayana (Chinese Buddhism); Japanese Buddhism; Theravada (Sri Lanka),"Ancestors (Obon, Chinese Ghost Festival); Shakyamuni Buddha (Vesak)",Obon (Japan); Ghost Festival/Ullambana (China),"China (lantern tradition), Japan (chochin), Sri Lanka (Vesak lanterns)"
32,糯米糕/年糕,Mochi / Rice Cakes,food,Ancestral nourishment and care for the spirits of the dead. Rakugan sweets in lotus shapes combine food offering with lo...,Japanese Buddhism; Mahayana,Ancestors and spirits of the dead,Obon (mid-August); Ohigan (spring and autumn equinoxes),Japan
33,清酒,Sake (Japanese Rice Wine),beverages,Nourishing and honoring ancestral spirits by offering what they enjoyed in life. In the Japanese syncretic tradition (mi...,Japanese Buddhism (Shinto-Buddhist syncretism),Ancestors and spirits of the dead,Obon (mid-August); Grave visits,Japan
34,菊花糕,Sweet Rice Pudding / Kheer,food,The Middle Way — the balance between extreme asceticism and indulgence that led the Buddha to enlightenment. Also the nu...,Theravada; Mahayana,Shakyamuni Buddha,Vesak/Buddha Day; Sujata Day commemorations,India (the original offering by Sujata occurred in Bodh Gaya)
35,白檀香膏,Sandalwood Paste,scent_and_perfume,"Purity, cooling of worldly passions, and devotion. Anointing the Buddha image with sandalwood paste symbolizes purificat...",Theravada; Mahayana; Vajrayana,Shakyamuni Buddha (images and stupas); All Buddhas,Bathing the Buddha ceremony (浴佛节 / Visakha Bucha); Stupa veneration,India (ancient Indian tradition of anointing sacred objects)
36,龙涎香/麝香,Musk / Ambergris,scent_and_perfume,"The most prized and precious of fragrant offerings, representing the offering of the finest and most valuable to the Thr...",Vajrayana; Tibetan Buddhism; Historical Chinese Buddhism,All Buddhas and Bodhisattvas,Special tantric rituals; Major ceremonial occasions,India and Tibet (Himalayan musk deer)
37,番红花/藏红花,Saffron,scent_and_perfume,"Royal purity, the golden light of wisdom, the highest offering of fragrance. The yellow/gold color of saffron correspond...",Vajrayana; Tibetan Buddhism; Mahayana (historical),Shakyamuni Buddha; All Buddhas,Major Tibetan Buddhist rituals; Bathing the Buddha ceremony,"Persia/Iran (Crocus sativus origin), imported to India and Tibet as a sacred offering material"
38,前置供养 (五供),Five Standard Offerings (Go-ku / Wugong),ritual_objects,"The five offerings together engage all five senses in devotion: incense (smell), flowers (sight/beauty), light (sight/wi...",Mahayana; Japanese Buddhism; Chinese Buddhism,All Buddhas and Bodhisattvas,Daily altar worship; All Buddhist ceremonies,"India (conceptual origin), formalized in China and Japan"
39,芦苇花/孔雀羽毛,Peacock Feathers,ritual_objects,Transformation of poison into medicine (peacocks are said to eat poisonous plants and transform them harmlessly) — symbo...,Vajrayana; Tibetan Buddhism; Mahayana,Mahamayuri (Peacock Wisdom Queen); Various tantric deities,Tantric rituals; Temple decoration,"India (peacock symbolism in ancient Indian culture), Tibet"
40,红糖/蜂蜜,Honey and Sugar,food,"The sweetness of the Dharma; the nourishing quality of the Buddha's teachings. In Tibetan torma practice, honey may be i...",Theravada; Mahayana,Shakyamuni Buddha; Sangha (as tonic for monks),Theravada alms rounds (as tonic); Torma preparation (Tibet),India (ancient offering tradition)
41,菩提叶/树枝,Bodhi Tree Leaves / Sacred Branches,ritual_objects,The site of the Buddha's enlightenment; the tree as witness to the supreme spiritual event of human history. Bodhi leave...,Theravada; Mahayana,Shakyamuni Buddha,"Vesak (Sri Lanka, Theravada countries); Obon (Japan, Sasaki branches)","India (Bodh Gaya), Sri Lanka (Anuradhapura Bodhi tree is a sacred cutting of the original)"
42,白色供碗/供器,White Porcelain Offering Vessels,ritual_objects,Purity and spiritual cleanliness appropriate for sacred offerings. White as the color of impermanence and the transition...,Mahayana; Japanese Buddhism; Chinese Buddhism,Ancestors; Deceased family members,Obon (Japan); Qingming (China),"China (porcelain tradition), Japan"
43,牡丹花,Peony,flowers,"Prosperity, good fortune, enlightenment, and spiritual potential. In Mahayana Buddhist traditions, the peony represents ...",Mahayana; Chinese Buddhism,All Buddhas and Bodhisattvas,Spring festivals; Buddhist ceremonies,China
44,兰花,Orchid,flowers,"Tranquility, refined beauty, and inner transformation. The delicate and enduring nature of orchids symbolizes spiritual ...",Mahayana; Chan/Zen,All Buddhas and Bodhisattvas,Daily altar offerings; Buddhist ceremonies,China (Orchidaceae widely distributed; orchid cultivation central to Chinese culture for millennia)
45,水陆法会供品,Shuilu Fahui Ceremonial Offerings,ritual_objects,Universal compassion extending to all sentient beings in all realms of existence. The ceremony is meant to liberate all ...,Mahayana; Chinese Buddhism,"All Buddhas and Bodhisattvas; All beings in six realms (humans, animals, hungry ghosts, hell beings, asuras, gods)",Shuilu Fahui (Water and Land Dharma Assembly); Major Chinese Buddhist ceremonies,China (Tang/Song dynasty origin)
46,鲜花花环/花鬘,Flower Garlands (Mala / Phuang Malai),flowers,The beauty of the Dharma adorning the Buddha; the offering of beauty itself as an act of devotion. Garlands represent th...,Theravada; Mahayana,All Buddhas and Bodhisattvas; Deities,Daily temple offerings (especially Thailand); Vesak,"India (ancient garland offering tradition), Thailand, Sri Lanka, Nepal"
47,乳香/熏香树脂,Frankincense Resin,incense,"Purification of mind and space, spiritual elevation. The smoke of frankincense carries prayers upward and creates a sacr...",Mahayana; Chinese Buddhism (historical import),All Buddhas and Bodhisattvas,Buddhist incense ceremonies; Meditation sessions,"Arabia / East Africa (Boswellia sacra/carterii), imported to China via Silk Road"
48,金刚菩提子/念珠,Prayer Beads / Mala,ritual_objects,The 108 beads represent the 108 mental defilements in Buddhist psychology that must be overcome to attain enlightenment....,Theravada; Mahayana; Vajrayana,Used during practice dedicated to all Buddhas,Daily mantra recitation; Meditation practice,India (ancient Hindu and Buddhist tradition)
49,普贤十大愿供养,Samantabhadra Ten Vow Offerings (Symbolic),ritual_objects,"The perfection of generosity through mental offering — offering more than any physical object could represent, visualizi...",Mahayana; Chinese Buddhism; Hua Yen (Avatamsaka) Buddhism,All Buddhas in all directions throughout all time,Avatamsaka Sutra recitation; Samantabhadra puja,"India (Avatamsaka Sutra tradition), formalized in Chinese Buddhism"
50,音乐/梵音 (法音),Sacred Music and Chanting (Dharma Sound),ritual_objects,Sound offerings remind practitioners of impermanence and the empty nature of all phenomena. The sound of the drum symbol...,Theravada; Mahayana; Vajrayana,All Buddhas and Bodhisattvas; All beings in six realms (through the liberating sound),Daily liturgy; Festivals,"India (ancient Indian Buddhist music tradition), developed distinctly in Tibet, China, Japan, Korea"
